champion,changed_in_patch,source_scope,picks,wins,winrate,avg_kills,avg_deaths,avg_assists,avg_earnedgold,avg_damagetochampions,avg_dpm,avg_cspm
Blitzcrank,0,historical_unchanged,13,5,0.38461538461538464,1.0769230769230769,4.384615384615385,9.153846153846153,7750.0,,206.3846153846154,0.953846153846154
Camille,0,historical_unchanged,13,8,0.6153846153846154,2.8461538461538463,3.5384615384615383,5.769230769230769,12374.615384615385,,523.8461538461538,6.746153846153846
Elise,0,historical_unchanged,13,7,0.5384615384615384,2.0,3.6923076923076925,7.615384615384615,10000.76923076923,,373.6923076923077,1.276923076923077
Smolder,0,historical_unchanged,12,2,0.16666666666666666,2.5833333333333335,3.0833333333333335,3.5833333333333335,15055.25,,923.75,9.858333333333334
Nidalee,0,historical_unchanged,11,7,0.6363636363636364,2.4545454545454546,1.3636363636363635,8.727272727272727,12930.09090909091,,564.7272727272727,6.927272727272726
Kha'Zix,0,historical_unchanged,10,7,0.7,5.1,3.2,6.0,15948.3,,704.9,7.989999999999999
Yasuo,0,historical_unchanged,10,7,0.7,3.5,3.8,5.3,13940.4,,464.6,9.05
Draven,0,historical_unchanged,9,4,0.4444444444444444,3.6666666666666665,3.2222222222222223,5.333333333333333,16128.222222222223,,705.8888888888889,9.311111111111112
Aurelion Sol,0,historical_unchanged,8,3,0.375,3.375,2.875,4.375,13337.125,,731.625,8.925
Cho'Gath,0,historical_unchanged,8,4,0.5,2.625,3.75,4.25,12015.625,,548.125,7.75
Irelia,0,historical_unchanged,7,3,0.42857142857142855,1.4285714285714286,6.142857142857143,4.428571428571429,12592.857142857143,,433.0,9.142857142857142
Diana,0,historical_unchanged,5,2,0.4,5.2,3.8,3.0,12775.4,,624.8,7.92
Malzahar,0,historical_unchanged,5,2,0.4,2.4,2.4,6.0,14157.6,,699.2,9.16
Mordekaiser,0,historical_unchanged,5,1,0.2,2.6,2.8,3.0,11441.2,,748.4,8.620000000000001
Soraka,0,historical_unchanged,5,2,0.4,0.4,2.0,8.8,8066.0,,175.8,0.96
Vladimir,0,historical_unchanged,5,1,0.2,4.4,2.8,3.2,12912.2,,672.6,8.98
Gangplank,0,historical_unchanged,3,1,0.3333333333333333,1.3333333333333333,2.0,4.0,12880.666666666666,,758.6666666666666,8.933333333333334
Nasus,0,historical_unchanged,3,3,1.0,6.0,2.0,9.0,13323.666666666666,,761.6666666666666,6.8
Urgot,0,historical_unchanged,3,2,0.6666666666666666,8.0,5.333333333333333,7.666666666666667,16492.666666666668,,879.0,7.733333333333334
Veigar,0,historical_unchanged,3,1,0.3333333333333333,4.666666666666667,1.6666666666666667,3.3333333333333335,14809.333333333334,,659.3333333333334,9.200000000000001
Vex,0,historical_unchanged,3,0,0.0,1.6666666666666667,4.666666666666667,3.0,11526.666666666666,,558.3333333333334,8.133333333333333
Xerath,0,historical_unchanged,3,1,0.3333333333333333,4.333333333333333,2.3333333333333335,3.6666666666666665,11715.0,,796.6666666666666,8.5
Zac,0,historical_unchanged,3,2,0.6666666666666666,4.666666666666667,4.333333333333333,9.666666666666666,13843.0,,481.3333333333333,5.8
Zyra,0,historical_unchanged,3,2,0.6666666666666666,2.0,1.3333333333333333,6.666666666666667,12662.0,,673.3333333333334,8.366666666666667
Amumu,0,historical_unchanged,2,1,0.5,1.0,6.0,8.0,8732.5,,178.0,1.0
Graves,0,historical_unchanged,2,1,0.5,2.5,3.5,4.0,13004.0,,708.0,8.6
Ivern,0,historical_unchanged,2,2,1.0,1.0,1.5,12.5,12162.0,,234.0,5.25
Janna,0,historical_unchanged,2,0,0.0,0.5,4.0,3.5,8689.5,,222.5,1.0
Lillia,0,historical_unchanged,2,1,0.5,5.0,2.5,7.0,16893.5,,788.0,7.7
Nunu & Willump,0,historical_unchanged,2,1,0.5,1.0,3.0,14.0,14031.0,,410.5,6.8
Rammus,0,historical_unchanged,2,0,0.0,0.5,4.5,10.5,9988.5,,230.0,3.25
Talon,0,historical_unchanged,2,0,0.0,4.5,3.0,2.0,12196.0,,510.5,7.5
Tryndamere,0,historical_unchanged,2,1,0.5,3.0,3.0,3.0,13313.5,,506.5,10.1
Darius,0,historical_unchanged,1,1,1.0,8.0,3.0,4.0,15399.0,,869.0,8.2
Hecarim,0,historical_unchanged,1,0,0.0,4.0,5.0,2.0,11024.0,,357.0,7.5
Illaoi,0,historical_unchanged,1,1,1.0,4.0,2.0,1.0,11992.0,,810.0,9.7
Rengar,0,historical_unchanged,1,1,1.0,6.0,7.0,11.0,18281.0,,563.0,8.8
Samira,0,current_patch_fallback,1,1,1.0,13.0,3.0,7.0,16392.0,,1042.0,9.4
